ID,Vulnerability description,Vulnerability location,Location-subtype,Vulnerability type,Type-subtype,Risk,Time,Attack surface,Country/region,EPA size,SAE level,Power type,APP class,Vehicle ID,Participant ID,Skill1,Skill2,Skill3,Skill4,Privacy data breach,Control hijacking,Ransomware,System damage,Unauthroized unlocking,Driving accident
1,XX Company's vehicles have a remote key replay vulnerability,In-vehicle,Radio,Interception,Replay,Critical,2024-4-29,Mid-range,German,Sedan,L2,Electric,-,Competition-7-Vehicle-1,3,Traffic analysis,-,-,-,-,-,-,-,TRUE,-
2,XX Company's vehicles have a remote key replay vulnerability,In-vehicle,Radio,Interception,Replay,Critical,2024-4-29,Mid-range,German,Sedan,L2,Electric,-,Competition-7-Vehicle-1,3,Traffic analysis,-,-,-,-,-,-,-,TRUE,-
3,Weak passwords on XX Company's cloud platform,Outside-vehicle,Cloud platform,Authorization,Weak password,Low,2024-4-29,Remote,German,SUV,L3,Electric,-,Daily,-,Penetration testing,Brute force,-,-,TRUE,-,TRUE,-,-,-
4,Vulnerability in the kernel component of XX Company's XX model,In-vehicle,IVI,File operation,File accessing,High,2024-4-29,Short-range,America,-,-,-,-,Competition-8-Vehicle-1,9,Vulnerability reproduction,-,-,-,TRUE,-,-,-,-,-
5,Logical flaw in the UWB vehicle access system of XX Company's XX model,In-vehicle,Radio,Interception,Relay,Low,2024-4-26,Mid-range,German,Sedan,L2,Petrol,-,Competition-4-Vehicle-3,4,Traffic analysis,-,-,-,-,-,-,-,TRUE,-
6,Insufficient protection of the wireless communication module interface in XX Company's XX model,In-vehicle,T-Box,Authorization,Unauthorized accessing,Medium,2024-4-25,Short-range,America,Sedan,L2,Electric,-,Competition-8-Vehicle-1,9,Firmware extraction,Reverse engineering,Code audit,-,-,TRUE,-,-,-,-
7,XSS vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Web-specific,XSS,Low,2024-4-17,Remote,China,SUV,L2,Hybird,-,Competition-5-Vehicle-3,6,Penetration testing,-,-,-,TRUE,-,-,-,-,-
8,Software privilege escalation vulnerability in XX Company's IVI,In-vehicle,IVI,Authorization,Privilege escalation,High,2024-4-12,Short-range,America,Sedan,L2,Electric,-,Competition-8-Vehicle-1,9,Firmware extraction,Reverse engineering,Code audit,-,TRUE,TRUE,-,-,-,-
9,XSS vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,Web-specific,XSS,Low,2024-4-17,Remote,China,SUV,L2,Hybird,-,Competition-5-Vehicle-3,6,Penetration testing,-,-,-,TRUE,-,-,-,-,-
10,File reading vulnerability in XX Company's cloud platform,Outside-vehicle,Cloud platform,File operation,File traversal,Low,2024-4-10,Remote,China,SUV,L2,Petrol,-,Competition-5-Vehicle-5,8,Penetration testing,-,-,-,TRUE,-,-,-,-,-
11,Authentication bypass vulnerability in XX Company's test environment,Outside-vehicle,Cloud platform,Authorization,Identity spoofing,High,2024-3-27,Remote,China,SUV,L2,Petrol,-,Competition-5-Vehicle-5,8,Penetration testing,-,-,-,TRUE,-,TRUE,-,-,-
12,Arbitrary account login vulnerability in XX Company's connected vehicle app,Outside-vehicle,APP,Authorization,Unauthorized accessing,High,2024-3-21,Remote,China,SUV,L2,Electric, APP-internal,Competition-8-Vehicle-2,1,Unpacking,Reverse engineering,Code audit,Traffic analysis,TRUE,TRUE,-,-,-,-
