#,Location,#,1,2,3,4,5,6,7,8,9,10,11,12,13
,,Paper Title£º,A taxonomy of attack mechanisms in the automotive domain,A survey on security attacks and defense techniques for connected and autonomous vehicles,Survey and classification of automotive security attacks,Autonomous Vehicle Security: A Taxonomy of Attacks and Defences,A Survey on Cyber-Security of Connected and Autonomous Vehicles,A systematic survey of attack detection and prevention in Connected and Autonomous Vehicles,An Investigation of Cyber-Attacks and Security Mechanisms for Connected and Autonomous Vehicles,Security of Connected and Autonomous Vehicles: A Review of Attacks and Mitigation Strategies,Autonomous Vehicle Security: Literature Review of Real Attack Experiments,Cybersecurity testing for automotive domain: A survey,Autonomous Driving Security: State of the Art and Challenges,A Survey on Automated Driving System Testing: Landscapes and Trends.,A Coprehensive Study of Autonomous Vehicle Bugs
1,Cloud platform,,,,,,,,X,,,,,,
2,APP,,,,,,,,,,,X,X,,
3,Charging pile,,,,,,,,,,X,,,,
4,IVI,,X,X,X,,X,X,X,X,X,X,X,,X
5,Radio,,X,,X,,X,X,X,,,X,X,,
6,ADAS,,,,,,X,,X,,,X,X,,X
7,Gateway,,,,,,,,,,X,,,,
8,Others,,X,X,X,X,X,X,X,X,,X,X,X,
9,T-Box,,,,,,,,,,,,,,
10,Sensors,,X,X,X,X,X,X,X,X,X,X,X,X,X
11,Network,,X,X,X,X,X,X,X,X,X,X,X,X,X
12,Road sign,,,,,,,,,,X,,,,
13,Traffic light,,,,,,,,,,X,,,,
14,Neighbor vehicle,,,X,X,X,X,,,,X,,,,
# Count,,,5,4,5,3,6,5,7,4,5,7,7,3,4
# Total,,,11,11,11,11,11,11,11,11,11,11,11,11,11
%,,,45%,36%,45%,27%,55%,45%,64%,36%,45%,64%,64%,27%,36%
